title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
プレール・ドゥーク北新宿III,東京都新宿区北新宿３,ＪＲ中央線/大久保駅 歩5分ＪＲ山手線/新大久保駅 歩9分ＪＲ中央線/東中野駅 歩14分,築13年5階建,4階,10.9万円,8000円,10.9万円,10.9万円,1K,31.87m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,2階,9.4万円,10000円,9.4万円,-,1K,24.69m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,2階,9.4万円,10000円,9.4万円,-,1K,24.69m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,2階,9.9万円,10000円,9.9万円,9.9万円,1K,24.69m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,1階,13.5万円,10000円,13.5万円,13.5万円,1LDK,31.76m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,4階,13.9万円,10000円,13.9万円,13.9万円,1DK,34.86m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,4階,14万円,10000円,14万円,14万円,1DK,30.57m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,2階,14.5万円,10000円,29万円,14.5万円,1LDK,34.14m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,4階,14.5万円,10000円,14.5万円,14.5万円,1DK,33.42m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,3階,14.9万円,10000円,14.9万円,14.9万円,1DK,34.14m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,2階,15万円,10000円,15万円,15万円,1DK,41.5m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,1階,16.5万円,10000円,16.5万円,16.5万円,1LDK,49.38m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,B1-1階,16.5万円,10000円,16.5万円,16.5万円,1LDK,49.38m2
レジディア西新宿II,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩5分京王新線/初台駅 歩9分都営大江戸線/都庁前駅 歩13分,築14年地下1地上4階建,1階,16.5万円,10000円,16.5万円,16.5万円,1LDK,49.38m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,1階,10.7万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,3階,11.4万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,4階,11.6万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,5階,11.8万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,5階,11.8万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,6階,11.9万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,6階,11.9万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,3階,12.1万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,4階,12.2万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,6階,12.3万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,5階,12.5万円,10000円,-,-,1K,25.09m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,5階,12.5万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,5階,12.5万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,6階,12.6万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,6階,12.6万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,2階,12.7万円,10000円,-,-,1K,25.09m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,6階,12.9万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,8階,13.1万円,10000円,-,-,1K,25m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,1階,20万円,15000円,-,-,1LDK,40.06m2
ディームス神楽坂I,東京都新宿区西五軒町,ＪＲ中央線/飯田橋駅 歩13分東京メトロ東西線/神楽坂駅 歩5分都営大江戸線/牛込神楽坂駅 歩8分,築3年9階建,8階,21.6万円,15000円,-,-,1LDK,40.03m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,12階,18.8万円,10000円,37.6万円,-,1LDK,40.33m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,3階,19.3万円,10000円,38.6万円,-,1LDK,43.86m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,3階,21.7万円,10000円,43.4万円,-,1LDK,51.47m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,4階,22.5万円,15000円,45万円,-,2LDK,57.29m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,16階,24.5万円,15000円,49万円,-,2LDK,56.41m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,1階,27.3万円,15000円,54.6万円,-,2LDK,72.46m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,1階,28万円,15000円,56万円,-,2SLDK,74.26m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,8階,29.5万円,15000円,59万円,-,3LDK,74.64m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,19階,31.8万円,15000円,63.6万円,-,3LDK,74.64m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,4階,35.5万円,15000円,71万円,-,3LDK,98.96m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,28階,35.5万円,15000円,35.5万円,35.5万円,2LDK,89.89m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分都営大江戸線/若松河田駅 歩5分東京メトロ東西線/早稲田駅 歩10分,築14年地下1地上30階建,29階,53.9万円,15000円,107.8万円,-,2LDK,114.93m2
ルネサンスコート神楽坂,東京都新宿区改代町,東京メトロ有楽町線/江戸川橋駅 歩5分東京メトロ東西線/神楽坂駅 歩6分ＪＲ中央線/飯田橋駅 歩17分,築3年5階建,1階,9.5万円,10000円,9.5万円,9.5万円,ワンルーム,21.22m2
ルネサンスコート神楽坂,東京都新宿区改代町,東京メトロ有楽町線/江戸川橋駅 歩5分東京メトロ東西線/神楽坂駅 歩6分ＪＲ中央線/飯田橋駅 歩17分,築3年5階建,2階,9.7万円,10000円,9.7万円,9.7万円,ワンルーム,21.22m2
ルネサンスコート神楽坂,東京都新宿区改代町,東京メトロ有楽町線/江戸川橋駅 歩5分東京メトロ東西線/神楽坂駅 歩6分ＪＲ中央線/飯田橋駅 歩17分,築3年5階建,2階,10万円,10000円,10万円,10万円,1K,20.79m2
ルネサンスコート神楽坂,東京都新宿区改代町,東京メトロ有楽町線/江戸川橋駅 歩5分東京メトロ東西線/神楽坂駅 歩6分ＪＲ中央線/飯田橋駅 歩17分,築3年5階建,4階,10.2万円,10000円,10.2万円,10.2万円,1K,20.79m2
ルネサンスコート神楽坂,東京都新宿区改代町,東京メトロ有楽町線/江戸川橋駅 歩5分東京メトロ東西線/神楽坂駅 歩6分ＪＲ中央線/飯田橋駅 歩17分,築3年5階建,2階,12.4万円,10000円,12.4万円,12.4万円,1DK,30.47m2
ルネサンスコート神楽坂,東京都新宿区改代町,東京メトロ有楽町線/江戸川橋駅 歩5分東京メトロ東西線/神楽坂駅 歩6分ＪＲ中央線/飯田橋駅 歩17分,築3年5階建,3階,12.5万円,10000円,12.5万円,12.5万円,1DK,30.47m2
セジョリ西早稲田,東京都新宿区西早稲田３,東京メトロ副都心線/西早稲田駅 歩4分東京メトロ東西線/高田馬場駅 歩5分ＪＲ山手線/高田馬場駅 歩8分,築8年12階建,3階,9.05万円,10000円,9.05万円,18.1万円,1K,25.61m2
セジョリ西早稲田,東京都新宿区西早稲田３,東京メトロ副都心線/西早稲田駅 歩4分東京メトロ東西線/高田馬場駅 歩5分ＪＲ山手線/高田馬場駅 歩8分,築8年12階建,5階,9.35万円,10000円,9.35万円,18.7万円,1K,25.56m2
セジョリ西早稲田,東京都新宿区西早稲田３,東京メトロ副都心線/西早稲田駅 歩4分東京メトロ東西線/高田馬場駅 歩5分ＪＲ山手線/高田馬場駅 歩8分,築8年12階建,7階,9.7万円,10000円,-,-,1K,25.55m2
